index,DateTime,Lat.,Long.,Fatalities,Magnitude,Month,Hour,Fatalities_bool
0,1981-01-19 15:11:00,-4.576,139.232,305,6.7,1,15,True
1,1981-01-23 21:13:00,30.93,101.1,150,6.8,1,21,True
2,1981-10-25 03:22:00,18.05,-102.08,3,7.3,10,3,True
3,1982-12-13 09:12:00,14.7,44.38,2800,6.2,12,9,True
4,1983-10-28 14:06:00,44.09,-113.8,2,7.0,10,14,True
5,1983-10-30 07:12:00,40.33,42.19,1342,6.9,10,7,True
6,1983-12-22 04:11:00,-11.866,13.259,500,6.3,12,4,True
7,1985-03-03 19:47:00,-33.24,-71.85,177,7.8,3,19,True
8,1985-04-08 21:56:00,-34.04,-71.39,2,7.5,4,21,True
9,1985-09-19 13:17:00,18.44,-102.36,10000,8.0,9,13,True
10,1986-10-10 17:49:00,13.827,-89.118,1500,5.4,10,17,True
11,1987-03-06 04:10:00,-0.0,77.7,5000,7.1,3,4,True
12,1987-10-01 14:42:00,34.06,-118.13,8,5.9,10,14,True
13,1988-08-20 23:09:00,-26.71,86.62,709,6.9,8,23,True
14,1988-11-06 13:03:00,22.789,99.611,938,7.7,11,13,True
15,1988-12-07 07:41:00,40.93,44.11,25000,6.8,12,7,True
16,1989-01-22 23:02:00,-38.47,-68.69,274,5.5,1,23,True
17,1989-08-21 00:18:00,4.511,139.022,120,6.0,8,0,True
18,1989-10-17 17:04:00,37.14,-121.76,63,6.9,10,17,True
19,1989-12-28 10:27:00,-32.95,151.61,13,5.6,12,10,True
20,1990-06-14 15:41:00,11.34,122.1,8,7.1,6,15,True
21,1990-06-21 00:30:00,36.96,49.41,40000,7.4,6,0,True
22,1990-07-16 16:26:00,15.7,121.2,1621,7.9,7,16,True
23,1991-04-29 09:12:00,42.453,43.673,270,7.0,4,9,True
24,1991-10-20 02:53:00,30.75,78.82,768,6.8,10,2,True
25,1992-03-13 17:18:00,39.7,39.69,652,6.8,3,17,True
26,1992-06-28 11:57:00,34.2,-116.52,3,7.3,6,11,True
27,1992-09-02 00:16:00,11.77,-87.35,116,7.7,9,0,True
28,1992-10-12 13:09:00,29.778,31.144,545,5.8,10,13,True
29,1992-12-12 05:29:00,8.48,121.896,2500,7.8,12,5,True
30,1993-07-12 13:17:00,42.851,139.197,230,7.7,7,13,True
31,1993-09-29 22:25:00,18.08,76.52,9748,6.2,9,22,True
32,1994-01-17 12:30:00,34.18,-118.56,57,6.7,1,12,True
33,1994-02-15 17:07:00,-4.967,-104.302,207,6.9,2,17,True
